mse,abs_percentage_median,abs_percentage_mean,abs_percentage_std,div_max,div_min,div_avg,n
3.572899583005595e-15,99.25398060719479,98.91423310938295,1.1635679285250855,0.35638553880829704,-1.3844144658521662,-0.3365735706607584,127
1.086026162586711e-15,99.26329168292516,98.92793366879141,1.1487190803287466,0.3572371522336013,-1.386194487909734,-0.3358988804259919,128
2.170621736866396e-15,99.27239800295158,98.94034310442701,1.1362798854481564,0.3557985866663662,-1.3921392381731486,-0.3365455428627705,129
2.176417432929372e-15,99.28425420707742,98.955655237066,1.1181241425019588,0.35228538930776043,-1.376669289144885,-0.33661541899158354,130
2.083045775275015e-15,99.29166396564449,98.96694255122833,1.1075165111797283,0.34418028825308333,-1.3883015838579453,-0.3369740323345037,131
1.5796357347554028e-15,99.30222495223771,98.98027556366615,1.0960964411519991,0.34425394187839053,-1.3870362029255436,-0.3370438862949044,132
1.674751765056761e-15,99.31304170478654,98.99517236118614,1.0814790813028838,0.344523977676749,-1.3869357075626638,-0.33760883036389777,133
1.1759903835944397e-15,99.32203228965028,99.00684293893865,1.0708936298086784,0.34741575998887164,-1.4039668287846438,-0.3380057556877993,134
3.3741444103772294e-16,99.3299304768604,99.01799423396417,1.0619767135475866,0.3480020790479186,-1.4046701656850749,-0.3380631453951873,135
3.1286835636658417e-16,99.33783117762181,99.02812100841781,1.0537790208900435,0.3414517116054867,-1.4149760768699244,-0.3389619010973196,136
3.2902330945856883e-16,99.34353308101713,99.03728543062321,1.048205194785644,0.34133488471588436,-1.4188167978588402,-0.3389904728773455,137
6.369766751666651e-16,99.35145192049282,99.04577410808885,1.041991010367813,0.33758537794690735,-1.4143727544266436,-0.33957368307184876,138
6.323729533461117e-16,99.35727749605,99.0535417103317,1.0372419041012124,0.3399372690419975,-1.4110573377711164,-0.3401270486479943,139
5.388799953787157e-16,99.36441694077618,99.06350486547626,1.0287211942660344,0.33977142239098246,-1.4028756968271503,-0.3400676835710388,140
5.567754881826596e-16,99.37088860841132,99.0718929776681,1.0231268975406056,0.3397731995664106,-1.403059920722053,-0.34006541954562325,141
6.273245972143085e-16,99.37678760016425,99.07986876528676,1.015078699958176,0.3369691651736959,-1.4402001821436206,-0.33994829819880407,142
6.568063374995539e-16,99.38166616606347,99.08773246433789,1.0078236853834617,0.33944759810686254,-1.4472114873719117,-0.3399098730056227,143
4.639697514451962e-16,99.386520231963,99.09307688347037,1.0021142257760958,0.3319364258835087,-1.446307127492565,-0.33935107923509406,144
2.7246293840879667e-17,99.39401125036294,99.10199896598583,0.9965079386941719,0.3231592533712595,-1.4595353096519839,-0.3381347381177431,145
1.6346627868546506e-17,99.40184194275103,99.11209128956226,0.9903512472121832,0.3226352952002216,-1.4568330467651867,-0.33811521719946924,146
1.668326695863833e-17,99.40697762822117,99.12011739730009,0.9824159961438365,0.3223478328379379,-1.4232023278747437,-0.33803264897746843,147
2.7726131112339763e-17,99.41336999552145,99.12986415487168,0.9748488429747393,0.3220774022015229,-1.4223388284891123,-0.33824136705936225,148
3.115090575561659e-17,99.41518469239956,99.13429328518994,0.9688773446519108,0.3193944222277709,-1.418030253480557,-0.33828258365445807,149
2.480464007001561e-18,99.4205364065196,99.14130271820252,0.9628219672803334,0.30416344728506406,-1.4142539223086805,-0.336108628586735,150
2.6707354623039843e-18,99.4279160416803,99.1498545142049,0.9568058844082096,0.3030220436098201,-1.4214926306624993,-0.3361633689393422,151
1.0948968926620311e-16,99.43127332784942,99.15685741024924,0.9449492576282302,0.2998174303040724,-1.45114199061476,-0.33492119284980887,152
1.184427864284332e-16,99.43904565765816,99.16562630374405,0.9370226273751987,0.31136795338265877,-1.4569959020779468,-0.334664384494567,153
1.0371690590365994e-16,99.44315764617309,99.17355872640593,0.9283423948126532,0.3145336251373205,-1.4595868136698722,-0.3346408320530439,154
9.631988560712948e-17,99.44760274996773,99.18002045018149,0.922558522491324,0.29538710111384603,-1.4520541629616084,-0.33407893701813157,155
1.5898870292859898e-16,99.45323023507608,99.187618421424,0.9098856466428878,0.289641897410041,-1.5039470153966854,-0.3345368907204112,156
2.2519889941893565e-16,99.45828590154875,99.19611499199407,0.9002252157608077,0.28224367937429484,-1.519089299859268,-0.3346812927574301,157
1.0790823289217113e-17,99.46370639677767,99.2055440913883,0.8883612823960173,0.34999181419182124,-1.629793233458325,-0.3305756115824574,158
2.471093947676375e-17,99.46827100955356,99.21382080541557,0.8762255463544081,0.32990516623711397,-1.7068609750201755,-0.33024640030304375,159
6.329936830235108e-21,99.47447057738185,99.2231090959039,0.8634946677038685,0.32791899341884356,-1.7003593022792196,-0.3299413795478008,160
6.948075001449145e-21,99.48008790970472,99.23023388077999,0.8563283732125616,0.3531963039601713,-1.64641786367208,-0.330146994580635,161
2.1461466929756926e-18,99.4836454684922,99.23714407698417,0.8480569130839812,0.3692261058388189,-1.709148186106731,-0.33083707047418814,162
1.9043624395174037e-18,99.48971077310998,99.2457466840473,0.8380684592923373,0.34495054150650706,-1.7378255728339416,-0.3308223440406144,163
6.89360524927967e-17,99.49481719073127,99.25386888597775,0.8282846849444254,0.3451244724177043,-1.7364515813496129,-0.33075224834991146,164
7.673660347409661e-17,99.49977988245013,99.26199596984824,0.8215615126628529,0.34465030330595336,-1.7343654283854448,-0.3308094788523816,165
3.135438164051802e-17,99.50490256645597,99.2705487459419,0.8109412497185488,0.34909694467385144,-1.7627758454459523,-0.3318732126888713,166
2.479050105820868e-17,99.51036640082404,99.27765742141513,0.8019398376092438,0.35127521141906826,-1.748423173952477,-0.3317688178266742,167
4.5533605652443024e-17,99.51552499181616,99.285566715868,0.7925054151876835,0.3071353833478785,-1.7353858696886497,-0.33226166041737115,168
4.845594332330988e-17,99.52197730866064,99.29384223027397,0.78344561437973,0.30676859953286595,-1.735782722912901,-0.33215383322265624,169
4.835367427533191e-17,99.52719458473412,99.30167742054395,0.776474428637472,0.3037738029689736,-1.7409307472071496,-0.3321515359238885,170
4.9926808107938023e-17,99.53319599659702,99.30992899837787,0.768128627004809,0.3166022844727774,-1.749817816793936,-0.3314758273988749,171
4.23847926405602e-17,99.53897751120655,99.31828808740802,0.7601145975848325,0.31986094848627644,-1.739485171405077,-0.3315052478108157,172
8.278594290527464e-17,99.54479963869933,99.32652606438808,0.752942645728104,0.3463072039459485,-1.7143967106475597,-0.33096150602264485,173
8.775610165150644e-17,99.55149603763387,99.33704150309522,0.7429115921292938,0.3525634575531793,-1.7311248625946827,-0.33114068697941457,174
1.5149540145016696e-16,99.55898066602978,99.34713591419934,0.7319771695960114,0.3530085866490493,-1.7289881702537402,-0.331073073599089,175
1.829206377312725e-16,99.56555689187952,99.3560691368567,0.7240634356378074,0.3490910681022532,-1.7375546445175876,-0.3312587762320763,176
1.346971076356803e-16,99.5736207081303,99.36652994437536,0.7140418769327698,0.3502245500540635,-1.7538504634226797,-0.3319165074065522,177
1.3798456063996505e-16,99.57909769941098,99.37465227119645,0.70503992113742,0.35001183239146894,-1.7546145665143869,-0.33190897449208234,178
1.2817923653127818e-16,99.58447593747067,99.38183035673958,0.6970366445085983,0.3503211393411716,-1.7546509374541643,-0.3319109113249579,179
1.290609980597592e-16,99.58922053396661,99.38950753321667,0.6894542052548869,0.34863740535296195,-1.7468880975147085,-0.33190724978198216,180
1.2749415333740587e-16,99.59480350375432,99.3971415486121,0.6812678546667538,0.35038414657201944,-1.7496050649790114,-0.3319248745953947,181
1.7948488406845333e-16,99.5994151347873,99.40498121357872,0.671518221224853,0.34999778896806166,-1.7614054541247435,-0.33203780765064644,182
1.7969395334564957e-16,99.60341838594832,99.41368526659504,0.6590292976269227,0.34643370033978993,-1.7465679523597633,-0.3320266215510766,183
