mse,sqr_percentage,abs_percentage_median,abs_percentage_mean,abs_percentage_std,div_max,div_min,div_avg,n
2.838488950632117e-17,99.99566,99.67816,99.536995,0.52168816,0.0034655854,-0.00486964,8.1458929926157e-05,205
3.732569743674119e-17,99.99576,99.68209,99.54183,0.51735973,0.0034344792,-0.0044650882,9.272873401641846e-05,206
3.673378482818256e-17,99.99585,99.684265,99.54613,0.51148057,0.0034816787,-0.004539117,9.426278993487358e-05,207
4.031597025466557e-17,99.99589,99.68744,99.55057,0.5090306,0.0033365563,-0.004496075,9.665152058005333e-05,208
4.036567499078087e-17,99.996056,99.690544,99.555695,0.5050726,0.0032338873,-0.0048463047,9.672158397734165e-05,209
7.486583396105316e-17,99.99617,99.69314,99.56024,0.49701008,0.003220722,-0.0046584085,0.00010398807935416699,210
7.34035256172191e-17,99.99622,99.696945,99.565575,0.4895792,0.0034998246,-0.0052282214,0.00010802246630191803,211
7.219503173633726e-17,99.99631,99.70064,99.57069,0.48520583,0.003449589,-0.0051940605,0.00010895388200879097,212
7.20127144094797e-17,99.99643,99.704346,99.57615,0.4803585,0.0037118644,-0.0051245093,0.00010801277123391628,213
6.369813093141455e-17,99.996544,99.707565,99.581726,0.47567526,0.0037564933,-0.005145408,0.00010871080681681633,214
5.000272457890223e-17,99.99665,99.71147,99.58745,0.4602419,0.0044796914,-0.00461863,0.00012259261682629586,215
6.993898282629446e-17,99.99671,99.71497,99.592354,0.45646027,0.0044748336,-0.004553519,0.00012457044795155525,216
6.997793960333311e-17,99.996895,99.718796,99.59767,0.45039088,0.0044383258,-0.004546888,0.00012456377036869525,217
6.131341670382002e-17,99.99699,99.722336,99.60326,0.4336234,0.004377529,-0.0044083223,0.00015839890576899052,218
5.915015328995324e-17,99.99704,99.724335,99.607414,0.4273106,0.004827082,-0.004946634,0.00017829704098403453,219
6.902414166191825e-17,99.99712,99.7288,99.61264,0.42293704,0.0058012754,-0.004264608,0.00013887218199670314,220
4.835188481114349e-17,99.99723,99.73212,99.61733,0.42116982,0.005531803,-0.0043411404,0.00013220131397247313,221
4.9468623045907765e-17,99.9973,99.73605,99.62278,0.4132984,0.005348012,-0.0042463094,0.00013090831227600575,222
4.5470689321138255e-17,99.997406,99.740166,99.62781,0.40631172,0.0051234365,-0.004731104,9.337009862065316e-05,223
5.1612026335526223e-17,99.99744,99.74277,99.63236,0.4016093,0.0049648285,-0.004757628,0.00010298393666744233,224
3.1583107433527666e-17,99.997444,99.74663,99.63772,0.39375782,0.005127862,-0.004776418,9.686327539384365e-05,225
